Pitcher,PitcherId,Batter,BatterId,TaggedPitchType,RelSpeed,VertApprAngle,HorzApprAngle,ExitSpeed,Distance
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Smith, David",1000090517,Fastball,90.42742,-5.038307,0.310298,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Smith, David",1000090517,Curveball,74.95689,-10.61164,-1.297938,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Smith, David",1000090517,Fastball,91.20473,-5.092859,-0.1992,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Tammaro, Paul",1000187106,Fastball,91.82379,-5.185564,-0.489704,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Tammaro, Paul",1000187106,Fastball,91.60017,-5.339874,-0.057666,31.94118,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Freeberger, Dominic",1000058975,Fastball,91.17085,-6.661962,-0.087781,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Freeberger, Dominic",1000058975,Fastball,91.0871,-6.534122,-0.130778,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Freeberger, Dominic",1000058975,Fastball,90.51649,-4.796639,1.685037,67.12161,199.63423
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Huber, Ben",1000122962,Fastball,92.57316,-5.292394,0.229521,73.27086,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Huber, Ben",1000122962,Fastball,91.24863,-5.786751,1.856607,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Huber, Ben",1000122962,Fastball,91.24187,-7.127033,0.878648,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Huber, Ben",1000122962,ChangeUp,82.39143,-6.147769,0.413099,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Huber, Ben",1000122962,Fastball,91.55762,-5.029933,0.516139,76.33934,219.87101
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Huber, Ben",1000122962,Fastball,91.45126,-4.177199,-0.558317,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Huber, Ben",1000122962,ChangeUp,82.79127,-5.738874,-0.703075,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Meggs, Andrew",8898701,Fastball,91.73707,-5.93565,-1.670964,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Meggs, Andrew",8898701,Fastball,92.96037,-6.627812,-1.442258,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Meggs, Andrew",8898701,Fastball,91.7297,-4.662228,-0.312319,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Meggs, Andrew",8898701,Slider,81.64792,-10.032371,-3.821466,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Meggs, Andrew",8898701,Fastball,93.28115,-5.718141,1.512366,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Meggs, Andrew",8898701,Fastball,92.5803,-6.754448,-0.20702,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Clifford, Nolan",1000099330,Fastball,91.12614,-5.963622,-0.51099,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Clifford, Nolan",1000099330,Fastball,92.1016,-4.965375,-0.502495,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Clifford, Nolan",1000099330,ChangeUp,84.38021,-6.853117,0.590183,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Clifford, Nolan",1000099330,ChangeUp,84.02282,-7.30839,1.148272,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Lozano, Tyler",1000013465,Slider,82.46664,-6.360064,-2.71311,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Lozano, Tyler",1000013465,Fastball,91.86375,-5.198483,-0.91287,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Lozano, Tyler",1000013465,Fastball,93.48889,-3.976604,-1.359235,,
,,,,,,,,,
"Quigley, Stephen",1000132354,"Lozano, Tyler",1000013465,Slider,82.32547,-7.847193,-2.715517,92.0203,132.24514
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Studley, Jake",1000132385,Fastball,89.56244,-4.870974,-0.809774,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Studley, Jake",1000132385,ChangeUp,80.31445,-8.19448,-0.442943,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Studley, Jake",1000132385,Fastball,90.60006,-4.6203,-0.038322,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Studley, Jake",1000132385,Fastball,90.47876,-6.974206,0.297046,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Studley, Jake",1000132385,Fastball,90.92149,-7.099406,-1.596579,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Broadhurst, Luke",1000133864,Curveball,76.33058,-11.347406,-1.664845,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Broadhurst, Luke",1000133864,Fastball,90.43026,-4.856814,0.611747,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Broadhurst, Luke",1000133864,Fastball,91.09689,-5.413016,0.911269,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Broadhurst, Luke",1000133864,Fastball,91.44708,-4.69794,0.213377,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Broadhurst, Luke",1000133864,Slider,81.6225,-8.807783,-2.139706,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Broadhurst, Luke",1000133864,Fastball,91.4991,-6.229622,1.678828,44.51727,2.72199
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Broadhurst, Luke",1000133864,Fastball,90.16273,-4.584801,0.609898,,
,,,,,,,,,
"Cancellieri, Dominic",1000060883,"Morton, Korey",1000099613,Fastball,91.51134,-4.520286,-1.929193,,
,,,,,,,,,
